Name of Company,Type of Industry,Company Address
"Analog Devices Gen. Trias, Inc. (ADGT)",,"Gateway Business Park, Javalera, General Trias, Cavite"
"Anchor Land Holdings, Inc. *",Real State,"16th floor, LV Locsin Bldg., 6752 Ayala Avenue cor Makati"
"Anderson Business Holdings, Ltd.",BPO,"Ecotower Building Unit 1504, 32nd Street Cor. 9th Ave., Bonifacio Global City, Taguig"
Angel Lazaro & Associates *,No Documents,"LL Building, Panay Avenue cor. EDSA, Quezon City, 1103 Philippines"
Angel8 Enterprises *,,"17 Green Peasant Street, Rainbow Homes 1, San Bartolome, Quezon City, Philippines"
Animation Vertigo (Asia) *,Outsourcing in the Video Game,"9/F Unit 94, The Columbia Tower, Ortigas Avenue, Mandaluyong City, 1550 Philippines"
"Anino Games (Anino Playlab, Inc.) *",Software and Computer Services,"3F Eurovilla 4 Bldg. A. Arnaiz Ave., Makati City"
"Antel Holdings ( Gen. Trias), Inc",Real State,"Antel Grand Village, Bacao 2, General Trias, Inc"
Anthropology Resources Inc.,Retailers ; Lighting / Design,2263 Lapanday Center Chino Roces Extension Makati City
Aomos Information Technology,HR/Software and Computer Services/Technology Hardware & Equipment,"Unit 307 Regina Heights, Boni ave. Mandaluyong City"
Apparel Solutions Multipurpose Coop.,Garment Manufacturing ,"Fil-Pacific Compd. Villana Rd. Sucat, Parañaque "
APT Entertainment,,"10-J Cruz Street, Brgy. Ugong, Pasig City"
"Araneta Center, Inc.",Property Management,"11/F Aurora Tower, Araneta Center, Quezon City"
ARB Technical Services *,Electrical Design & Construction ,"10 Platinum Street, Silverland Village, Quezon City, Philippines"
Arcadis,Software and Computer Services,Hyder Consulting 9/F Tower 2 The Enterprise Centre Makati City
"ARDCI Microfinance, Incorporated",Software and Computer Services,"San Roque, Virac, Catanduanes"
Ark One PTE. LTD ,ICT,"Unit 405 Park Trade Centre, 1716 Investment Derive, Madrigal Business Park, Alabang, Muntinlupa City, Philippines 1781"
"Ark-Phil IT Solutions, Inc.",IT consulting & Professional Services,"Unit 10 GF Building A, UP-Ayala TechnoHub, Commonwelath Avenue, Quezon City, 1121 Philippines"
Arkitekturam Design and Construction,,
Art Personas Inc.,Fashion and Art Industry,"Unit 22, 2nd Floor, Legaspi Suites 178, Salcedo, Legaspi Village, Makati"
Artesyn Embedded Technologies Phils. inc,Electronic & Electrical Equipment,"3&4/f, Techno Plaza One Bldg. Bagumbayan Eastwood City, Quezon city"
ASAD Company,No Documents,"Unit 115, 1134 Bldg. Valiasr Street, Tehran, Iran"
Ascend International,No Documents,"Rm309, L&S Bldg., 1414 Roxas blvd. Ermita, Manila"
"Aseana Holdings, Inc. *",Real State Developer,"3/F Aseana Powerstation, Bradco Avenue cor. Pres. Diosdado Macapagal Boulevard, Aseana City, Parañaque City, Philippines"
ASEC Development and Construction Corp. *,Market by Building Industrial/Construction,"3/F Regiala Towers, 150 P. Tuazon Avenue, Cubao, Quezon City, Philippines 1109"
Ashlar Industrial Corporation,Manufacturing of Plastics,"143 Darlucio Compound, Panghulo Road, Malabon City, Philippines"
Asia Pacific Digital-Manila,Advertising/Design/Marketing/ Software and Computer Services,"V Corporate Center,9/f, 1227 L.P Leviste St. Makati City"
ASIA DTWORDS 24/7 PHILIPPINES INC.,Advertising / Design / Marketing/ Software & Computer Services,"33rd floor Exportbank Plaza, Sen. Gil Puyat Avenue, corner Chino Roces Avenue,Makati City 1230 Philippines"
"Asia Systems Group, Inc.",Outsourcing Services and Software Application,"Unit 1502, 88 Corporate Center, 141 Valero cor. Sedeño Street, Salcedo Village, Makati City, Philippines"
"AsiaGate Networks, Inc.",Software and Computer Services .,"GF RCI Building, 105 Rada Street, Legaspi Village, Makati City, Philippines"
Asian Cable Communications Inc.,Media Industry,"Unit 709, West Twer, Philippine Stock Exchange Center, Ortigas, Pasig"
"Asian Cable Enterprises, Inc. *",Intertainment Cable TV,"Unit 704, 7/F Philippine Stock Exchange Centre, Exchange Road, Ortigas Center, Pasig City, 1605 Philippines"
"Asian Vision Cable Holdings, Inc.",Cable & Broadband Services,"204 Centrum II Building, 150 Valero Street, Salcedo Village, Makati City, Philippines 1227"
"AspireIT Solutions, Inc. - Recruting & Staffing (Aspire IT R&S, Inc.)",Staffing and Recuiting,24th Floor Pacificstar Building Sen. Gil Puyat Ave. Makati City
"AssistAsia Philippines, Inc.",2D/3D Graphic Provider,"8/F Montepino Building, 138 Amorsolo Street Corner Adelantado and Gamboa Streets Legaspi Village, Makati City 1229 Philippines"
"AssistPlus, Inc.",Software Developer,"Unit D 10/F Ramon Magsaysay Center, 1680 Roxas Boulevard, Malate, Manila, Philippines"
"Associated Ship Management Services, Inc.",Manning/Shipping,"5/F 665 CRI Building, Pres. Quirino Avenue cor. Leveriza Street, Malate, Manila, 1110 Philippines"
Association Broadcast Company,Tv Programs .,"#967 Quirino Highway, Novaliches, Quezon City"
"Astrid Technologies, Inc.",Software Devepment,"3/F 110 Twin Cities Condominium, Legazpi Street, Legazpi Village, Makati City, Philippines"
Asurion Hong Kong Limited ROHQ,Technology Hardware & Equipment,17F Accralaw Tower 30th St. cor 2nd Ave. Crescent Park BGC Taguig City
"ASUS Technology Philippines, Inc.",Computer/Information Technology(Hardware),"4/F Hanston Building, F. Ortigas Jr. Drive, Ortigas Center, Pasig City, Philippines"
Atelier Sheryl Vicente,,"#119 15th Ave., Cubao, Quezon City"
Atherton Financial Services Inc.,No Other Documents,"Unit 104 Regalia Park Towers, !50 P. Tuazon St. Quezon City"
ATKINS IMPORT & EXPORT RESOURCES INC.,FOOD AND BEVERAGES,"CHICAGO ST. MIS 3 PANTOC, CITY OF MEYCAUAYAN, BULACAN"
Atlanta Industries Inc.,Construction Materials,"35th flr Atlanta Center No 31 Annapolis Street greenhills San Juan, Metro Manila"
ATLANTICTECH GENERAL CONTRACTING CO.,Oil & Gas/ Construction,
"ATX Global Solutions & Consulting, Inc.",IT Business,"Unit M-3 Seven East Capitol Building no.7 Bamio, Kapitolyo, Pasig City"
Auction.Ph,New Media .,"Unit 605 Globe Telecom Plaza Tower 2, Pioneer Corporate Center, Mandaluyong, Philippines"
"August99, Inc.",Web Design Outsourcing,"Penthouse 1, One Corporate Centre, Ortigas Center, Pasig City"
Australian Project Services,Cold Storage Warehouse,"4th Fl Liberty Bldg. *35 Arnaiz Ave. Legazpi Village Makati,Philippines 1229"
Austriaco Solutions Corp. ,Advertising / Design / Marketing / HR,"16 A TURQUOISE ST. CAINTA GREENPARK VILLAGE, BRGY. SAN ISIDRO, CAINTA RIZAL"
Autocirculo Corporation (KIA Motors Las Piñas),"Automotive, Car Leadership and Car Service .","Lot 2-A, Alabang-Zapote Road, Pamplona Talon II, Las Piñas City, Philippines"
Autodesk Asia Pte. Ltd. (Singapore),No Other Documents,"3 Fusionopolis Way, #10-21 Symbiosis, Singapore 138633 Singapore"
Automated Technologies Inc,Software and Conputer Services / Technology Hardware & Equipment,"5600 Sergio Osmeña Highway corner Arellano St. Brgy, Palanan, Makati City"
"Automation and Security, Inc. / Integrated Security Automation",,"No. 5-B N. Domingo Street, Brgy. Progreso, San Juan City, Philippines"
Autre Porte Technique Global inc.,Industrial Services,
Avesco Marketing Corporation,,"Aurora Blvd.,cor. Yale St. Cubao, Quezon City, Philippines"
Axeia Development Corp.,Real State,"5th & 6th floor westar bldg, Shaw Blvd, Pasig City"
"Axis Distribution, Inc.",Software and Computer Services/Technology Hardware & Equipment,"3/F Green Palm Building, 1696 Baler Street, Brgy. Valenzuela, Makati City, Philippines"
"Axis Global Technologies, Inc.","Distributor of Computer, Consumer Electronic and Communication Prods","20 North Road cor. 3rd Avenue, Cubao, Quezon City, Philippines"
Ayala Property Management Corp.,Property Management,2/f use Bldg Ayala Ave. Makati City
"Ayala Systems Technology, Inc. (NCSI Philippines, Inc.)",IT Industry,"Unit 1601 16F 139 Corporate Centre 139 Valero St., Salcedo Village Makati City"
Azeus Systems Philippines Limited,IT Solutions Provider/Software App,"2802B-West Tower, Philippine Stock Exchange Centre, Exchange Road, Ortigas Center, Pasig City, Philippines 1605"
"Aztec Construction & Equipment, Inc. *",Construction and Materials,"Unit 1401 Future Point Plaza, 112 Panay Avenue, Quezon City, 1401 Philippines"
"B-Eye Solutions Business Intelligence, Inc.",BPO/ Software and Computer Services,7th flr PNB MAKATI BLDG CENTER 6754 AYALA AVE MAKATI
B. MARIANO ACCOUNTING SERVICES,Others: BOOKKEEPINC/ACCOUNTING,UG 1415 CARIVIINE PLACE I BLDG. JAGUAR STREET COR. DAHLIA FAIRVIEW. QUEZON CITY
"B&M Global Services Manila, Inc. (Baker and Mckenzie)",,8f bgc corp center 11th ave cor 38th street city center bonifacio global center taguild
"Banco de Oro (BDO Unibank, Inc.) *",Advertising/Corporate and Consumer .,"BDO Corporate Center, 7899 Makati Avenue, Makati City 0726, Philippines"
Bangko Sentral ng Pilipinas (BSP),Financial Services,"A. Mabini Street cor. P. Ocampo Street, Malate, Manila, Philippines 1004"
Bank of the Philippine Islands (BPI),Financial Services,"BPI Building, Ayala Avenue, Paseo de Roxas, Makati City, Philippines"
BANK OF THE PHILIPPINE ISLANDS,Financials: Banks / Insurance / Financial,"16F BPI BUENDIA CENTER, SEN. GIL PUYAT AVENUE, MAKATI CITY"
"Batangas Electric Cooperative, Inc.",Distribute Electricity/Government,"Antipolo Del Norte, Lipa City"
"Batangas Sugar Central, Inc.",,"Caloocan, Balayan, Batangas"
Barapido Inc.,Advertising / Design / Marketing/ Food & Drug Retailers / General Retailers/ Software & Computer Services,"3D Seibu, BGC, Taguig City"
Bauer Foundation Phils.,No Documents,"Unit 405, WEB-JET Acropolis Building, 88 E. Rodriguez Jr. Avenue, Barangay Bagumbayan, 1110 Quezon City"
Bauer International Philippines Inc.,Construction & Materials,"2F The Regali Park Tower A. No. 150 P. Tuazon St. P. Tuazon St. Barangay Socorro, Cubao, Quezon City"
BAYTECH,,"Unit 2505 Discovery Center, ADB Avenue, Ortigas Center Pasig City"
"Bayview Technologies, Inc.  *",Gaming,"43/F Yuchengco Tower, RCBC Plaza, 6819 Ayala Avenue cor. Gil Puyat Avenue, Makati City, 1200 Philippines"
BBDO-Guerreo,Advertising/Design/Marketing,17th flr frabel business center 111 rada st legaspi makati city
BCS Technology PTY. LTD. Philippines - ROHQ *,Software and Computer Services,"5F Centrum II Bldg., 150 Valero St., Salcedo Village, Makati City"
Beauty Concept Inc.,Health Care Equipment & Services,"8 Jade bldg santolan road san juan, San Juan Metro Manila, Philippines"
"Belford Ventures and Printing, Inc.",Textile and Marketing Services,"Unit 1, Villa Caridad 1, 5883 Enriquez Street, Barangay Poblacion, Makati City 1210"
"Bell Telecommunications Philippines, Inc.",,"3/F Pacific Star Building, Sen. Gil Puyat Avenue cor. Makati Avenue, Makati City, Philippines"
Benette Dy and Associates,,"#8 Alonzo Street, Tierra Verde Homes, Culiat, Quezon City, Philippines"
"Big Boss Cement, Inc.",Construction and Materials,"25 Madison st. Brgy Barangka Ilaya, Mandulong City"
Big Nose Production,Software & Computer Services,"Unit 306 Westria Residences 77 West Ave. Brgy Paltok, Quezon City"
Biz1 Global Solutions Inc.,NO IP/NO OTHER DOCUMENTS,"302 3/f LA'O Business Centre, A. Arnaiz Ave. Cor Makati Ave, San Lorenzo Makati City"
Black & Soda LLC,Advertising/Design/Marketing/Digital Marketing Company,"4/f Palet Express4, Molave Bldg, Chino Roces Ave. Pasong Tamo, Makati City"
Blue Aurora Solutions Inc.,Advertisig/Design/Marketing,9110 Sultana  st. Brgy Olympia Makati City
"Blue Magic, Inc. *",Retail Company,"17 Silangan Street, Teresa Heights Subdivision, Novaliches, Quezon City"
"Bluebell Commodities, Inc. *",Garment/Apparel Manufacturing,"102 Kalayaan Avenue, Diliman, Quezon City"
BMJE Marketing and Electrical Services Inc.,,"Blk 209 Lot 32, Labayene St, North Fairview, Quezon City 1118 Philippines"
Boma One Pacific Corp.,Personal and Household Goods/Advertising/Design/Marketing,"Unit B4, Karrivin Plaza, 2316 Chino Roses Ave. Ext. Makati City"
Bow C. Moreno Construction,Construction and Materials/Technology Hardware and Equipment,"Lot 19 B2 Don Pedro st. Garcia Heights, San Antonio Sucat Paranaque"
Brand Republic Marketing and Manpower Services Inc.,Advertising/Design/Marketing,"51 Kundiman st. Brgy Paltok, SFDM, Quezon city"
Breakroad35 International Marketing Corp.,Direct Selling,"15, Meralco Ave, Pasig, Metro Manila"
Bright Ideas Information Technology Solutions Inc.,IT Services,"Unit 328 LRI Business Plaza, 210 Nicanor Garcia Street, Bel-Air 4, Makati City, Philippines"
BST Tri-Media Production (Bitag Media),Tri-Media,102 Richwell center timog ave quezon city
BUENVIAJE BUSINESS CONSULTANCY,Business Consultancy,"233D, M, SUAREZ AVE., SAN MIGUEL, PASIG CITY"
BuildUp Corporation (Mediamatics),NO IP/NO OTHER DOCUMENTS,
Bukas,Education Financing,"30F, Yuchengco Tower, 6819 Ayala Ave, Makati City, Philippines"
Bureau of Customs (Department of Finance) *,Control & Monitoring Of Import-Export Of Weapons,"4/F PDM Building, South Harbor, Port Area, Manila, Philippines"
Bureau of Immigration,Identification and Monitoring of Foreign Nationals in the Country,"1002 Magallanes Drive, Intramuros, Manila, Philippines"
Bureau of Research and Standards - DPWH,N/A,"EDSA Diliman, Quezon City "
Buskowitz Finance Inc.,Banks/Insurance/Financial Services,"4/f Dominion Bldg, A. Arnaiz Ave, Makati City"
CA Telemarketing Inc.,Business Process Outsourcing,"3F Main Building, BENLOR I.T. Center, 1184 Quezon Avenue, Quezon City, Philippines"
C.U.R.R. Enterprise,NO OTHER DOCUMENTS,
"CADP, Inc.",,"Nasugbu, Batangas"
"CAI-STA Philippines, Inc. *",IT Services,"3/F One World Square Building, 10 Upper McKinley Road, McKinley Town Center, Fort Bonifacio, Taguig City"
Calcmenu Philippines,Software and  Computer Services,"Unit 2004A West Tower,PSEC, Ortigas, Pasig City"
Canned Cactus Media Corporation,Publishing Company,"Unit 10C Avant at the Fort, 26th Street cor. 3rd Avenue, Bonifacio Global City, Taguig, Philippines"
Capgemini Philippines Corp.,Software & Computer Services,"12th Floor, Ten West Campus Building, Le Grand Avenue, McKinley West, Fort Bonifacio, Bonifacio Global City 1634, Taguig, Philippines 101 - 499"
Capitol Medical Center *,Health Care Services,"Quezon Avenue cor. Scout Magbanua Street, Quezon City, Philippines 1103"
Capitol Steel Corporation,Construction and Materials,"300 Quirino Highway BAESA, Quezon City"
Cardno Emerging Markets Australia Pty. Ltd. ROHQ-PHILS,Engineering Services Provider Company,"Level 3B, 111 Paseo de Roxas Bldg, Paseo de Roxas corner Legaspi Street, Legaspi Village, Makati City National Capital Region (Manila) 1229 Philippines"
Careerhub Network Corporation  *,Job Portal,"35/F Robinsons Equitable Tower, ADB Avenue, Ortigas Center, Pasig City, Philippines 1605"
Carribean Waterpark Resort,HOtel/ Resort / Restaurant,"SO. PARANG BGRY. PULONG SAMPALOC, DRT. BULACAN"
Cartera Interchange Corporation,IT ,17C Citibank Tower 8741 Paseo De Roxas Makati City
Casa Bella Home and Living Corp ,"Wholesale and Retail Trade of
Furnitures"," C2 Gallery B at The Alley at Karrivin, Chino   Roces Ext., Makati City"
"Casa Bocobo Hotel, Inc.",Hotel/ Resort / Restaurant,"1000 J ST. COR TM KALAW AVE., ERMITA MANILA"
"CD Dumol Electrical Construction, Inc. *",Electrical Construction,"No. 29 U.N. Street, Better Living Subdivision, Parañaque City, Philippines"
CDC Manufacturing Corporation,Retail and Food Services,"8 University Avenue Extension, Potrero, Malabon City, Philippines"
